Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.fontbox.ttf.GlyphDescription,n/a,n/a,n/a,n/a,8,n/a
org.apache.fontbox.ttf.GlyphRenderer,5,1,1,0,30,23
org.apache.fontbox.ttf.GlyphRenderer.Point,1,1,0,0,4,5
org.apache.fontbox.ttf.GlyphSubstitutionTable,21,2,1,0,60,81
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTable,4,1,1,2,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat1,2,2,1,0,5,2
org.apache.fontbox.ttf.GlyphSubstitutionTable.CoverageTableFormat2,3,2,1,0,3,4
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureRecord,2,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.FeatureTable,3,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysRecord,2,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LangSysTable,3,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupSubTable,5,1,1,2,1,0
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTable,2,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat1,2,2,1,0,3,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.LookupTypeSingleSubstFormat2,2,2,1,0,4,3
org.apache.fontbox.ttf.GlyphSubstitutionTable.RangeRecord,2,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptRecord,2,1,0,0,2,1
org.apache.fontbox.ttf.GlyphSubstitutionTable.ScriptTable,3,1,0,0,3,1
org.apache.fontbox.ttf.GlyphTable,15,2,1,0,20,19
org.apache.fontbox.ttf.HeaderTable,13,2,1,0,42,36
org.apache.fontbox.ttf.HorizontalHeaderTable,8,2,1,0,40,36
org.apache.fontbox.ttf.HorizontalMetricsTable,11,2,1,0,12,14
org.apache.fontbox.ttf.IndexToLocationTable,7,2,1,0,11,8
org.apache.fontbox.ttf.KerningSubtable,5,1,1,0,21,29
org.apache.fontbox.ttf.KerningSubtable.PairData,n/a,n/a,n/a,n/a,2,n/a
org.apache.fontbox.ttf.KerningSubtable.PairData0Format0,4,1,2,0,6,9
org.apache.fontbox.ttf.KerningTable,5,2,1,0,12,12
org.apache.fontbox.ttf.MaximumProfileTable,7,2,1,0,35,32
org.apache.fontbox.ttf.MemoryTTFDataStream,5,2,2,0,23,19
org.apache.fontbox.ttf.NameRecord,5,1,2,0,17,16
org.apache.fontbox.ttf.NamingTable,8,2,1,0,31,30
org.apache.fontbox.ttf.OS2WindowsMetricsTable,8,2,1,0,80,73
org.apache.fontbox.ttf.OTFParser,12,2,7,0,21,12
org.apache.fontbox.ttf.OTLTable,3,2,0,0,2,1
org.apache.fontbox.ttf.OpenTypeFont,14,2,1,0,18,9
org.apache.fontbox.ttf.OpenTypeScript,3,1,1,0,37,21
org.apache.fontbox.ttf.PostScriptTable,11,2,1,0,38,40
org.apache.fontbox.ttf.RAFDataStream,5,2,2,0,24,13
org.apache.fontbox.ttf.RAFDataStreamTest,1,1,1,0,3,1
org.apache.fontbox.ttf.SubstitutingCmapLookup,5,1,1,0,8,3
org.apache.fontbox.ttf.TTCDataStream,2,2,2,0,20,11
org.apache.fontbox.ttf.TTFDataStream,36,1,8,3,33,20
org.apache.fontbox.ttf.TTFParser,36,1,1,1,66,47
org.apache.fontbox.ttf.TTFSubsetter,18,1,1,0,198,107
org.apache.fontbox.ttf.TTFSubsetterTest,7,1,6,0,55,11
org.apache.fontbox.ttf.TTFTable,24,1,6,18,11,11
org.apache.fontbox.ttf.TestCMapSubtable,6,1,1,0,11,1
org.apache.fontbox.ttf.TestMemoryTTFDataStream,1,3,1,0,6,2
org.apache.fontbox.ttf.TestTTFParser,7,1,2,0,24,4
org.apache.fontbox.ttf.TrueTypeCollection,13,1,1,0,23,15
org.apache.fontbox.ttf.TrueTypeCollection.TrueTypeFontProcessor,n/a,n/a,n/a,n/a,1,n/a
org.apache.fontbox.ttf.TrueTypeFont,59,1,2,1,101,81
org.apache.fontbox.ttf.TrueTypeFontCollectionTest,1,1,1,0,4,1
org.apache.fontbox.ttf.VerticalHeaderTable,6,2,1,0,23,19
org.apache.fontbox.ttf.VerticalMetricsTable,7,2,1,0,12,12
org.apache.fontbox.ttf.VerticalOriginTable,4,2,1,0,12,6
org.apache.fontbox.ttf.WGL4Names,2,1,0,0,3,2
org.apache.fontbox.type1.DamagedFontException,3,4,0,0,2,1
org.apache.fontbox.type1.Token,5,1,3,0,13,11
org.apache.fontbox.type1.Token.Kind,3,n/a,2,n/a,2,0
org.apache.fontbox.type1.Type1CharStringReader,n/a,n/a,n/a,n/a,1,n/a
org.apache.fontbox.type1.Type1Font,15,1,36,0,65,47
org.apache.fontbox.type1.Type1Lexer,5,1,1,0,42,67
org.apache.fontbox.type1.Type1LexerTest,4,1,1,0,23,9
org.apache.fontbox.type1.Type1Parser,7,1,1,0,53,143
org.apache.fontbox.util.BoundingBox,27,1,1,0,17,15
org.apache.fontbox.util.Charsets,10,1,0,0,2,1
org.apache.fontbox.util.autodetect.FontDirFinder,n/a,n/a,n/a,n/a,1,n/a
org.apache.fontbox.util.autodetect.FontFileFinder,8,1,1,0,21,20
org.apache.fontbox.util.autodetect.MacFontDirFinder,2,2,1,0,2,1
org.apache.fontbox.util.autodetect.NativeFontDirFinder,4,1,1,3,7,4
org.apache.fontbox.util.autodetect.OS400FontDirFinder,2,2,1,0,2,1
