Chidamber-Kemerer metrics,Wed, 1 May 2024 02:22:47 GMT-05:00
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.apache.pdfbox.debugger.ui.ArrayEntry,6,1,3,0,6,6
org.apache.pdfbox.debugger.ui.DebugLog,1,1,4,0,21,25
org.apache.pdfbox.debugger.ui.DocumentEntry,7,1,2,0,12,5
org.apache.pdfbox.debugger.ui.ErrorDialog,2,6,4,0,63,23
org.apache.pdfbox.debugger.ui.FileOpenSaveDialog,3,1,1,0,17,13
org.apache.pdfbox.debugger.ui.HighResolutionImageIcon,3,1,1,0,5,4
org.apache.pdfbox.debugger.ui.ImageTypeMenu,5,2,1,0,18,19
org.apache.pdfbox.debugger.ui.ImageUtil,2,1,1,0,13,7
org.apache.pdfbox.debugger.ui.LogDialog,3,6,4,0,37,28
org.apache.pdfbox.debugger.ui.MapEntry,7,1,3,0,8,8
org.apache.pdfbox.debugger.ui.MenuBase,8,1,1,5,10,7
org.apache.pdfbox.debugger.ui.OSXAdapter,2,1,1,2,34,26
org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer,17,6,2,0,43,49
org.apache.pdfbox.debugger.ui.PDFTreeCellRenderer.OverlayIcon,1,2,1,0,8,4
org.apache.pdfbox.debugger.ui.PDFTreeModel,12,1,8,0,46,39
org.apache.pdfbox.debugger.ui.PageEntry,9,1,2,0,12,9
org.apache.pdfbox.debugger.ui.PrintDpiMenu,3,2,1,0,15,11
org.apache.pdfbox.debugger.ui.PrintDpiMenu.PrintDpiMenuItem,1,7,0,0,2,1
org.apache.pdfbox.debugger.ui.ReaderBottomPanel,2,5,2,0,16,4
org.apache.pdfbox.debugger.ui.RecentFiles,2,1,1,0,37,25
org.apache.pdfbox.debugger.ui.RenderDestinationMenu,5,2,1,0,18,16
org.apache.pdfbox.debugger.ui.RotationMenu,5,2,1,0,18,19
org.apache.pdfbox.debugger.ui.Tree,12,5,1,0,59,44
org.apache.pdfbox.debugger.ui.WindowPrefs,1,1,1,0,14,7
org.apache.pdfbox.debugger.ui.ZoomMenu,6,2,2,0,26,17
org.apache.pdfbox.debugger.ui.ZoomMenu.ZoomMenuItem,1,7,0,0,2,1
org.apache.pdfbox.debugger.ui.textsearcher.SearchEngine,1,1,1,0,18,6
org.apache.pdfbox.debugger.ui.textsearcher.SearchPanel,2,1,1,0,55,15
org.apache.pdfbox.debugger.ui.textsearcher.Searcher,5,1,3,0,54,30
org.apache.pdfbox.encryption.TestPublicKeyEncryption,10,1,6,0,80,17
org.apache.pdfbox.encryption.TestSymmetricKeyEncryption,21,3,1,0,120,27
org.apache.pdfbox.examples.ant.PDFToTextTask,1,3,1,0,18,5
org.apache.pdfbox.examples.interactive.form.AddBorderToField,10,1,1,0,16,2
org.apache.pdfbox.examples.interactive.form.CreateCheckBox,30,1,1,0,97,11
org.apache.pdfbox.examples.interactive.form.CreateMultiWidgetsForm,20,1,1,0,36,2
org.apache.pdfbox.examples.interactive.form.CreatePushButton,23,1,1,0,41,1
org.apache.pdfbox.examples.interactive.form.CreateRadioButtons,24,1,1,0,75,9
org.apache.pdfbox.examples.interactive.form.CreateSimpleForm,22,1,1,0,42,2
org.apache.pdfbox.examples.interactive.form.CreateSimpleFormWithEmbeddedFont,22,1,1,0,41,2
org.apache.pdfbox.examples.interactive.form.FieldTriggers,9,1,1,0,28,2
org.apache.pdfbox.examples.interactive.form.FillFormField,4,1,1,0,10,3
org.apache.pdfbox.examples.interactive.form.PrintFields,6,1,1,0,21,11
org.apache.pdfbox.examples.interactive.form.SetField,10,1,1,0,21,15
org.apache.pdfbox.examples.interactive.form.TestCreateSimpleForms,31,1,5,0,63,9
org.apache.pdfbox.examples.interactive.form.UpdateFieldOnDocumentOpen,3,1,1,0,10,2
org.apache.pdfbox.examples.lucene.IndexPDFFiles,2,1,1,0,36,16
org.apache.pdfbox.examples.lucene.LucenePDFDocument,5,1,1,0,68,31
org.apache.pdfbox.examples.pdfa.CreatePDFATest,13,3,1,0,33,3
org.apache.pdfbox.examples.pdmodel.AddAnnotations,25,1,1,0,76,5
org.apache.pdfbox.examples.pdmodel.AddImageToPDF,6,1,1,0,17,5
org.apache.pdfbox.examples.pdmodel.AddJavascript,4,1,1,0,14,6
org.apache.pdfbox.examples.pdmodel.AddMessageToEachPage,9,1,1,0,28,12
org.apache.pdfbox.examples.pdmodel.AddMetadataFromDocInfo,10,1,1,0,41,6
org.apache.pdfbox.examples.pdmodel.CreateBlankPDF,3,1,1,0,10,3
org.apache.pdfbox.examples.pdmodel.CreateBookmarks,10,1,1,0,24,7
org.apache.pdfbox.examples.pdmodel.CreateGradientShadingPDF,20,1,1,0,41,5
org.apache.pdfbox.examples.pdmodel.CreateLandscapePDF,9,1,1,0,29,6
org.apache.pdfbox.examples.pdmodel.CreatePDFA,16,1,1,0,43,4
org.apache.pdfbox.examples.pdmodel.CreatePageLabels,5,1,1,0,15,2
org.apache.pdfbox.examples.pdmodel.CreatePatternsPDF,12,1,1,0,33,2
org.apache.pdfbox.examples.pdmodel.CreatePortableCollection,15,1,1,0,59,5
org.apache.pdfbox.examples.pdmodel.CreateSeparationColorBox,11,1,1,0,23,2
org.apache.pdfbox.examples.pdmodel.EmbeddedFiles,14,1,1,0,43,6
org.apache.pdfbox.examples.pdmodel.EmbeddedFonts,5,1,1,0,18,2
org.apache.pdfbox.examples.pdmodel.EmbeddedMultipleFonts,11,1,1,0,34,10
org.apache.pdfbox.examples.pdmodel.EmbeddedVerticalFonts,6,1,1,0,22,2
org.apache.pdfbox.examples.pdmodel.ExtractEmbeddedFiles,13,1,1,0,39,26
org.apache.pdfbox.examples.pdmodel.ExtractMetadata,12,1,1,0,47,24
org.apache.pdfbox.examples.pdmodel.ExtractTTFFonts,15,1,1,0,32,32
org.apache.pdfbox.examples.pdmodel.GoToSecondBookmarkOnOpen,8,1,1,0,21,8
org.apache.pdfbox.examples.pdmodel.HelloWorld,7,1,1,0,17,3
org.apache.pdfbox.examples.pdmodel.HelloWorldTTF,7,1,1,0,19,3
org.apache.pdfbox.examples.pdmodel.HelloWorldType1,6,1,1,0,20,3
org.apache.pdfbox.examples.pdmodel.ImageToPDF,5,1,1,0,15,4
org.apache.pdfbox.examples.pdmodel.PrintBookmarks,9,1,1,0,20,16
org.apache.pdfbox.examples.pdmodel.PrintDocumentMetaData,6,1,1,0,27,8
org.apache.pdfbox.examples.pdmodel.PrintURLs,8,1,1,0,32,14
org.apache.pdfbox.examples.pdmodel.RemoveFirstPage,2,1,1,0,13,7
org.apache.pdfbox.examples.pdmodel.ReplaceURLs,7,1,1,0,14,9
org.apache.pdfbox.examples.pdmodel.RubberStamp,6,1,1,0,19,7
org.apache.pdfbox.examples.pdmodel.RubberStampWithImage,16,1,1,0,51,9
org.apache.pdfbox.examples.pdmodel.ShowColorBoxes,6,1,1,0,23,3
org.apache.pdfbox.examples.pdmodel.ShowTextWithPositioning,12,1,1,0,38,7
org.apache.pdfbox.examples.pdmodel.SuperimposePage,9,1,1,0,28,4
org.apache.pdfbox.examples.pdmodel.TestCreateGradientShadingPDF,3,1,1,0,15,3
org.apache.pdfbox.examples.pdmodel.TestCreateSignature,38,1,2,0,246,42
org.apache.pdfbox.examples.pdmodel.TestEmbeddedFiles,3,1,1,0,11,1
org.apache.pdfbox.examples.pdmodel.TestHelloWorld,4,1,1,0,15,4
org.apache.pdfbox.examples.pdmodel.TestRubberStampWithImage,13,1,1,0,25,7
org.apache.pdfbox.examples.pdmodel.UsingTextMatrix,9,1,1,0,25,9
org.apache.pdfbox.examples.printing.Printing,7,1,5,0,39,14
org.apache.pdfbox.examples.rendering.CustomGraphicsStreamEngine,11,3,3,0,38,20
org.apache.pdfbox.examples.rendering.CustomPageDrawer,3,1,1,0,8,1
org.apache.pdfbox.examples.rendering.CustomPageDrawer.MyPDFRenderer,6,2,1,0,4,2
org.apache.pdfbox.examples.rendering.CustomPageDrawer.MyPageDrawer,10,4,3,0,34,6
org.apache.pdfbox.examples.signature.CMSProcessableInputStream,2,1,2,0,9,5
org.apache.pdfbox.examples.signature.CreateEmbeddedTimeStamp,8,1,1,0,42,17
org.apache.pdfbox.examples.signature.CreateEmptySignatureForm,14,1,1,0,25,2
org.apache.pdfbox.examples.signature.CreateSignature,10,2,1,0,51,16
org.apache.pdfbox.examples.signature.CreateSignatureBase,8,1,2,3,34,13
org.apache.pdfbox.examples.signature.CreateSignedTimeStamp,8,1,2,0,36,11
org.apache.pdfbox.examples.signature.CreateSignedTimestampBase,3,1,1,0,6,3
org.apache.pdfbox.examples.signature.CreateVisibleSignature,19,2,1,0,98,30
org.apache.pdfbox.examples.signature.CreateVisibleSignature2,34,2,1,0,156,43
org.apache.pdfbox.examples.signature.ShowSignature,21,1,1,0,108,49
org.apache.pdfbox.examples.signature.SigUtils,25,1,5,0,90,40
org.apache.pdfbox.examples.signature.TSAClient,3,1,1,0,38,13
org.apache.pdfbox.examples.signature.ValidationTimeStamp,5,1,1,0,27,7
org.apache.pdfbox.examples.signature.cert.CRLVerifier,7,1,1,0,69,26
org.apache.pdfbox.examples.signature.cert.CertificateVerificationException,6,3,0,0,4,2
org.apache.pdfbox.examples.signature.cert.CertificateVerificationResult,0,1,3,0,5,5
org.apache.pdfbox.examples.signature.cert.CertificateVerifier,9,1,1,0,78,34
org.apache.pdfbox.examples.signature.cert.OcspHelper,8,1,1,0,98,51
org.apache.pdfbox.examples.signature.cert.OcspHelper.SHA1DigestCalculator,1,1,2,0,10,3
org.apache.pdfbox.examples.signature.cert.RevokedCertificateException,4,3,1,0,4,3
org.apache.pdfbox.examples.signature.validation.AddValidationInformation,23,1,1,0,131,48
org.apache.pdfbox.examples.signature.validation.CertInformationCollector,9,1,1,0,56,22
org.apache.pdfbox.examples.signature.validation.CertInformationCollector.CertSignatureInformation,3,1,10,0,11,11
org.apache.pdfbox.examples.signature.validation.CertInformationHelper,3,1,3,0,23,16
org.apache.pdfbox.examples.signature.validation.CertificateProccessingException,2,3,0,0,2,1
org.apache.pdfbox.examples.util.AddWatermarkText,11,1,1,0,36,10
org.apache.pdfbox.examples.util.ConnectedInputStream,1,2,1,0,20,10
org.apache.pdfbox.examples.util.DrawPrintTextLocations,24,4,1,0,98,29
org.apache.pdfbox.examples.util.ExtractTextByArea,5,1,1,0,15,5
org.apache.pdfbox.examples.util.ExtractTextSimple,4,1,1,0,23,7
org.apache.pdfbox.examples.util.PDFHighlighter,4,4,1,0,34,11
org.apache.pdfbox.examples.util.PDFMergerExample,12,1,1,0,44,5
org.apache.pdfbox.examples.util.PrintImageLocations,20,2,1,0,29,10
org.apache.pdfbox.examples.util.PrintTextColors,21,4,2,0,25,6
org.apache.pdfbox.examples.util.PrintTextLocations,4,4,2,0,24,7
org.apache.pdfbox.examples.util.RemoveAllText,15,1,1,0,38,17
org.apache.pdfbox.examples.util.SplitBooklet,4,1,1,0,26,7
org.apache.pdfbox.filter.ASCII85Filter,7,2,2,0,9,2
org.apache.pdfbox.filter.ASCII85InputStream,1,3,6,0,13,29
org.apache.pdfbox.filter.ASCII85OutputStream,1,3,1,0,14,24
org.apache.pdfbox.filter.ASCIIHexFilter,5,2,2,0,11,11
org.apache.pdfbox.filter.CCITTFaxDecoderStream,6,3,3,0,31,85
org.apache.pdfbox.filter.CCITTFaxDecoderStream.Node,2,1,1,0,3,5
org.apache.pdfbox.filter.CCITTFaxDecoderStream.Tree,2,1,1,0,5,12
org.apache.pdfbox.filter.CCITTFaxEncoderStream,5,2,1,0,18,52
org.apache.pdfbox.filter.CCITTFaxEncoderStream.Code,1,1,0,0,1,1
org.apache.pdfbox.filter.CCITTFaxFilter,11,2,1,0,19,14
org.apache.pdfbox.filter.CryptFilter,6,2,1,0,9,4
org.apache.pdfbox.filter.DCTFilter,6,2,2,0,61,37
org.apache.pdfbox.filter.DecodeOptions,12,1,6,1,18,16
org.apache.pdfbox.filter.DecodeOptions.FinalDecodeOptions,1,2,6,0,9,7
org.apache.pdfbox.filter.DecodeResult,17,1,2,0,6,5
org.apache.pdfbox.filter.Filter,30,1,4,11,28,13
org.apache.pdfbox.filter.FilterFactory,21,1,1,0,10,5
org.apache.pdfbox.filter.FlateFilter,6,2,2,0,27,8
org.apache.pdfbox.filter.IdentityFilter,5,2,2,0,5,2
org.apache.pdfbox.filter.JBIG2Filter,8,2,2,0,47,12
org.apache.pdfbox.filter.JPXFilter,9,2,2,0,50,16
org.apache.pdfbox.filter.LZWFilter,7,2,1,0,31,28
org.apache.pdfbox.filter.MissingImageReaderException,3,4,0,0,2,1
org.apache.pdfbox.filter.Predictor,7,1,3,0,11,35
org.apache.pdfbox.filter.Predictor.PredictorOutputStream,2,3,2,0,16,11
org.apache.pdfbox.filter.PredictorTest,1,1,2,0,6,2
org.apache.pdfbox.filter.RunLengthDecodeFilter,5,2,2,0,9,8
org.apache.pdfbox.filter.TIFFExtension,n/a,n/a,n/a,n/a,0,n/a
org.apache.pdfbox.filter.TestFilters,11,3,2,0,27,13
org.apache.pdfbox.io.IOUtils,109,1,4,0,13,11
org.apache.pdfbox.io.MemoryUsageSetting,10,1,4,0,17,30
org.apache.pdfbox.io.RandomAccess,n/a,n/a,n/a,n/a,0,n/a
org.apache.pdfbox.io.RandomAccessBuffer,9,1,1,0,37,56
org.apache.pdfbox.io.RandomAccessBufferedFileInputStream,8,2,2,0,39,38
org.apache.pdfbox.io.RandomAccessFile,5,1,1,0,33,21
org.apache.pdfbox.io.RandomAccessInputStream,4,2,1,1,14,11
org.apache.pdfbox.io.RandomAccessOutputStream,5,2,1,0,7,4
org.apache.pdfbox.io.RandomAccessRead,n/a,n/a,n/a,n/a,12,n/a
org.apache.pdfbox.io.RandomAccessWrite,n/a,n/a,n/a,n/a,4,n/a
org.apache.pdfbox.io.ScratchFile,14,1,3,0,59,50
org.apache.pdfbox.io.ScratchFileBuffer,4,1,1,0,37,49
org.apache.pdfbox.io.ScratchFileBufferTest,3,1,1,0,9,2
org.apache.pdfbox.io.SequentialRead,n/a,n/a,n/a,n/a,3,n/a
org.apache.pdfbox.io.TestIOUtils,2,3,1,0,8,1
org.apache.pdfbox.io.TestRandomAccessBuffer,2,3,3,0,23,27
org.apache.pdfbox.io.TestRandomAccessOutputStream,3,3,1,0,21,5
org.apache.pdfbox.io.UnmodifiableCOSDictionaryTest,3,1,1,0,47,12
org.apache.pdfbox.multipdf.LayerUtility,23,1,1,0,84,23
org.apache.pdfbox.multipdf.MergeAcroFormsTest,11,1,1,0,39,12
org.apache.pdfbox.multipdf.MergeAnnotationsTest,9,1,1,0,32,6
org.apache.pdfbox.multipdf.Overlay,17,1,1,0,120,93
org.apache.pdfbox.multipdf.Overlay.LayoutPage,4,1,0,0,1,1
org.apache.pdfbox.multipdf.Overlay.Position,2,n/a,2,n/a,2,0
org.apache.pdfbox.multipdf.PDFCloneUtility,13,1,1,0,34,35
org.apache.pdfbox.multipdf.PDFCloneUtilityTest,11,3,2,0,34,3
org.apache.pdfbox.multipdf.PDFMergerUtility,54,1,1,0,241,201
org.apache.pdfbox.multipdf.PDFMergerUtility.AcroFormMergeMode,2,n/a,2,n/a,2,0
org.apache.pdfbox.multipdf.PDFMergerUtility.DocumentMergeMode,1,n/a,2,n/a,2,0
org.apache.pdfbox.multipdf.PDFMergerUtilityTest,25,3,1,0,131,66
org.apache.pdfbox.multipdf.PDFMergerUtilityTest.ElementCounter,6,1,1,0,6,7
org.apache.pdfbox.multipdf.PageExtractor,6,1,1,0,22,9
org.apache.pdfbox.multipdf.PageExtractorTest,2,3,3,0,14,6
org.apache.pdfbox.multipdf.Splitter,16,1,1,0,52,32
org.apache.pdfbox.multipdf.TestLayerUtility,15,3,1,0,50,7
org.apache.pdfbox.pdfparser.BaseParser,21,1,1,4,100,156
org.apache.pdfbox.pdfparser.COSParser,34,2,1,2,231,365
org.apache.pdfbox.pdfparser.EndstreamOutputStream,2,4,1,0,7,15
org.apache.pdfbox.pdfparser.EndstreamOutputStreamTest,11,1,2,0,28,2
org.apache.pdfbox.pdfparser.FDFParser,11,3,2,0,29,15
org.apache.pdfbox.pdfparser.InputStreamSource,6,1,1,0,21,17
org.apache.pdfbox.pdfparser.InputStreamSourceTest,1,1,5,0,18,5
org.apache.pdfbox.pdfparser.PDFObjectStreamParser,13,2,1,0,30,14
org.apache.pdfbox.pdfparser.PDFObjectStreamParserTest,7,1,1,0,16,1
org.apache.pdfbox.pdfparser.PDFParser,14,3,2,1,37,18
org.apache.pdfbox.pdfparser.PDFStreamParser,29,2,1,0,59,54
org.apache.pdfbox.pdfparser.PDFStreamParserTest,4,3,1,0,16,4
org.apache.pdfbox.pdfparser.PDFXRef,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.pdfparser.PDFXRefStream,16,1,2,0,45,36
org.apache.pdfbox.pdfparser.PDFXRefStream.FreeReference,1,1,0,0,0,0
org.apache.pdfbox.pdfparser.PDFXRefStream.NormalReference,1,1,0,0,0,0
org.apache.pdfbox.pdfparser.PDFXRefStream.ObjectStreamReference,1,1,0,0,0,0
org.apache.pdfbox.pdfparser.PDFXrefStreamParser,13,2,1,0,25,18
org.apache.pdfbox.pdfparser.PDFXrefStreamParser.ObjectNumbers,5,1,2,0,12,10
org.apache.pdfbox.pdfparser.RandomAccessSource,6,1,1,0,21,12
org.apache.pdfbox.pdfparser.RandomAccessSourceTest,2,1,5,0,19,5
org.apache.pdfbox.pdfparser.SequentialSource,n/a,n/a,n/a,n/a,10,n/a
org.apache.pdfbox.pdfparser.TestPDFParser,16,1,3,0,66,28
org.apache.pdfbox.pdfparser.XrefTrailerResolver,10,1,1,0,44,33
org.apache.pdfbox.pdfparser.XrefTrailerResolver.XRefType,4,n/a,2,n/a,2,0
org.apache.pdfbox.pdfparser.XrefTrailerResolver.XrefTrailerObj,4,1,1,0,4,2
org.apache.pdfbox.pdfwriter.COSStandardOutputStream,1,3,3,0,15,12
org.apache.pdfbox.pdfwriter.COSWriter,41,1,1,0,183,148
org.apache.pdfbox.pdfwriter.COSWriterTest,2,1,1,0,8,4
org.apache.pdfbox.pdfwriter.COSWriterXRefEntry,5,1,5,0,13,14
org.apache.pdfbox.pdfwriter.COSWriterXRefEntryTest,1,1,1,0,5,1
org.apache.pdfbox.pdfwriter.ContentStreamWriter,16,1,4,0,25,22
org.apache.pdfbox.pdfwriter.ContentStreamWriterTest,8,1,5,0,32,8
org.apache.pdfbox.pdmodel.DefaultResourceCache,10,1,7,0,19,21
org.apache.pdfbox.pdmodel.MissingResourceException,3,4,0,0,2,1
org.apache.pdfbox.pdmodel.PDAbstractContentStream,51,1,1,3,157,163
org.apache.pdfbox.pdmodel.PDAppearanceContentStream,33,2,3,0,33,33
org.apache.pdfbox.pdmodel.PDDestinationNameTreeNode,8,2,2,0,8,5
org.apache.pdfbox.pdmodel.PDDocument,336,1,6,1,220,140
org.apache.pdfbox.pdmodel.PDDocumentCatalog,126,1,1,0,96,75
org.apache.pdfbox.pdmodel.PDDocumentInformation,19,1,1,0,40,27
org.apache.pdfbox.pdmodel.PDDocumentNameDestinationDictionary,9,1,1,0,7,6
org.apache.pdfbox.pdmodel.PDDocumentNameDictionary,17,1,1,0,17,14
org.apache.pdfbox.pdmodel.PDEmbeddedFilesNameTreeNode,13,2,2,0,7,4
org.apache.pdfbox.pdmodel.PDFormContentStream,5,2,0,0,5,1
org.apache.pdfbox.pdmodel.PDJavascriptNameTreeNode,6,2,2,0,8,5
org.apache.pdfbox.pdmodel.PDPage,150,1,2,0,104,93
org.apache.pdfbox.pdmodel.PDPageContentStream,87,1,1,0,232,245
org.apache.pdfbox.pdmodel.PDPageContentStream.AppendMode,22,n/a,4,n/a,4,2
org.apache.pdfbox.pdmodel.PDPageTree,25,1,1,0,58,58
org.apache.pdfbox.pdmodel.PDPageTree.PageIterator,6,1,2,0,23,12
org.apache.pdfbox.pdmodel.PDPageTree.SearchContext,3,1,1,0,3,2
org.apache.pdfbox.pdmodel.PDPatternContentStream,4,2,0,0,5,1
org.apache.pdfbox.pdmodel.PDResources,105,1,1,0,92,101
org.apache.pdfbox.pdmodel.PDStructureElementNameTreeNode,6,2,2,0,6,4
org.apache.pdfbox.pdmodel.PageLayout,2,n/a,2,n/a,7,5
org.apache.pdfbox.pdmodel.PageLayoutTest,2,1,2,0,12,3
org.apache.pdfbox.pdmodel.PageMode,7,n/a,2,n/a,7,5
org.apache.pdfbox.pdmodel.PageModeTest,1,1,7,0,14,9
org.apache.pdfbox.pdmodel.ResourceCache,n/a,n/a,n/a,n/a,14,n/a
org.apache.pdfbox.pdmodel.TestFDF,8,3,1,0,27,2
org.apache.pdfbox.pdmodel.TestPDDocument,6,3,4,0,48,6
org.apache.pdfbox.pdmodel.TestPDDocumentCatalog,7,1,5,0,31,10
org.apache.pdfbox.pdmodel.TestPDDocumentInformation,2,3,2,0,29,4
org.apache.pdfbox.pdmodel.TestPDPageAnnotationsFiltering,8,1,1,0,19,6
org.apache.pdfbox.pdmodel.TestPDPageContentStream,9,3,3,0,45,5
org.apache.pdfbox.pdmodel.TestPDPageTransitions,8,1,2,0,32,2
org.apache.pdfbox.pdmodel.TestPDPageTree,8,1,1,0,20,10
org.apache.pdfbox.pdmodel.common.COSArrayList,42,1,7,0,100,87
org.apache.pdfbox.pdmodel.common.COSArrayListTest,11,1,1,0,63,19
org.apache.pdfbox.pdmodel.common.COSDictionaryMap,12,1,4,0,50,28
org.apache.pdfbox.pdmodel.common.COSObjectable,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.pdmodel.common.PDDestinationOrAction,n/a,n/a,n/a,n/a,0,n/a
org.apache.pdfbox.pdmodel.common.PDDictionaryWrapper,18,1,1,5,8,7
org.apache.pdfbox.pdmodel.common.PDIntegerNameTreeNode,5,2,2,0,6,4
org.apache.pdfbox.pdmodel.common.PDMetadata,17,2,2,0,14,5
org.apache.pdfbox.pdmodel.common.PDNameTreeNode,25,1,1,5,53,38
org.apache.pdfbox.pdmodel.common.PDNumberTreeNode,13,1,1,0,52,37
org.apache.pdfbox.pdmodel.common.PDObjectStream,6,2,4,0,19,10
org.apache.pdfbox.pdmodel.common.PDPageLabelRange,6,1,1,0,18,12
org.apache.pdfbox.pdmodel.common.PDPageLabels,15,1,1,0,41,26
org.apache.pdfbox.pdmodel.common.PDPageLabels.LabelGenerator,2,1,2,0,24,19
org.apache.pdfbox.pdmodel.common.PDPageLabels.LabelHandler,n/a,n/a,n/a,n/a,1,n/a
org.apache.pdfbox.pdmodel.common.PDRange,17,1,1,0,16,10
org.apache.pdfbox.pdmodel.common.PDRectangle,109,1,1,0,45,22
org.apache.pdfbox.pdmodel.common.PDStream,87,1,1,3,83,50
org.apache.pdfbox.pdmodel.common.PDStreamTest,4,1,2,0,17,3
org.apache.pdfbox.pdmodel.common.PDTypedDictionaryWrapper,3,2,1,0,8,3
org.apache.pdfbox.pdmodel.common.TestEmbeddedFiles,9,3,2,0,25,5
org.apache.pdfbox.pdmodel.common.TestPDNameTreeNode,4,3,1,0,15,6
org.apache.pdfbox.pdmodel.common.TestPDNumberTreeNode,4,3,1,0,20,7
org.apache.pdfbox.pdmodel.common.TestPDNumberTreeNode.PDTest,3,1,1,0,8,8
org.apache.pdfbox.pdmodel.common.filespecification.PDComplexFileSpecification,14,2,1,0,40,52
org.apache.pdfbox.pdmodel.common.filespecification.PDEmbeddedFile,13,2,10,0,36,29
org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification,16,1,3,6,6,4
org.apache.pdfbox.pdmodel.common.filespecification.PDSimpleFileSpecification,4,2,1,0,7,5
org.apache.pdfbox.pdmodel.common.function.PDFunction,25,1,5,5,38,38
org.apache.pdfbox.pdmodel.common.function.PDFunctionType0,9,2,3,0,43,24
org.apache.pdfbox.pdmodel.common.function.PDFunctionType0.Rinterpol,5,1,1,0,19,18
org.apache.pdfbox.pdmodel.common.function.PDFunctionType2,10,2,2,0,20,12
org.apache.pdfbox.pdmodel.common.function.PDFunctionType3,7,2,2,0,24,17
org.apache.pdfbox.pdmodel.common.function.PDFunctionType4,10,2,2,0,22,6
org.apache.pdfbox.pdmodel.common.function.PDFunctionTypeIdentity,4,2,3,0,7,5
org.apache.pdfbox.pdmodel.common.function.TestPDFunctionType4,5,3,1,0,17,3
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators,0,1,0,0,1,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Abs,3,1,1,0,8,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Add,3,1,1,0,6,3
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Atan,3,1,1,0,6,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Ceiling,3,1,1,0,6,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cos,3,1,1,0,6,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cvi,3,1,1,0,5,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Cvr,3,1,1,0,5,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Div,3,1,1,0,5,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Exp,3,1,1,0,6,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Floor,3,1,1,0,6,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.IDiv,3,1,1,0,4,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Ln,3,1,1,0,6,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Log,3,1,1,0,6,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mod,3,1,1,0,4,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mul,3,1,1,0,6,3
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,3,1,1,0,6,3
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Round,3,1,1,0,7,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sin,3,1,1,0,6,1
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sqrt,3,1,1,0,6,2
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sub,3,1,1,0,6,3
org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Truncate,3,1,1,0,6,2
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators,0,1,0,0,1,1
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.AbstractLogicalOperator,5,1,1,3,7,3
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2,2,2,0,2,2
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Bitshift,3,1,1,0,5,2
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.False,3,1,1,0,3,1
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Not,3,1,1,0,5,3
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Or,2,2,2,0,2,2
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,3,1,1,0,3,1
org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Xor,2,2,2,0,2,2
org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators,0,1,0,0,1,1
org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.If,4,1,1,0,4,2
org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.IfElse,4,1,1,0,4,2
org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext,42,1,2,0,9,6
org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence,8,1,1,0,17,10
