,Class,DIT,LCOM,RFC,WMC,Version
618,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Ln,1.0,1.0,6,1.0,2.0.26
619,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Log,1.0,1.0,6,1.0,2.0.26
620,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mod,1.0,1.0,4,1.0,2.0.26
621,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Mul,1.0,1.0,6,3.0,2.0.26
622,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Neg,1.0,1.0,6,3.0,2.0.26
623,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Round,1.0,1.0,7,2.0,2.0.26
624,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sin,1.0,1.0,6,1.0,2.0.26
625,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sqrt,1.0,1.0,6,2.0,2.0.26
626,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Sub,1.0,1.0,6,3.0,2.0.26
627,org.apache.pdfbox.pdmodel.common.function.type4.ArithmeticOperators.Truncate,1.0,1.0,6,2.0,2.0.26
628,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators,1.0,0.0,1,1.0,2.0.26
629,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.AbstractLogicalOperator,1.0,1.0,7,3.0,2.0.26
630,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.And,2.0,2.0,2,2.0,2.0.26
631,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Bitshift,1.0,1.0,5,2.0,2.0.26
632,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.False,1.0,1.0,3,1.0,2.0.26
633,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Not,1.0,1.0,5,3.0,2.0.26
634,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Or,2.0,2.0,2,2.0,2.0.26
635,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.True,1.0,1.0,3,1.0,2.0.26
636,org.apache.pdfbox.pdmodel.common.function.type4.BitwiseOperators.Xor,2.0,2.0,2,2.0,2.0.26
637,org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators,1.0,0.0,1,1.0,2.0.26
638,org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.If,1.0,1.0,4,2.0,2.0.26
639,org.apache.pdfbox.pdmodel.common.function.type4.ConditionalOperators.IfElse,1.0,1.0,4,2.0,2.0.26
640,org.apache.pdfbox.pdmodel.common.function.type4.ExecutionContext,1.0,2.0,9,6.0,2.0.26
641,org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequence,1.0,1.0,17,10.0,2.0.26
642,org.apache.pdfbox.pdmodel.common.function.type4.InstructionSequenceBuilder,2.0,2.0,26,13.0,2.0.26
643,org.apache.pdfbox.pdmodel.common.function.type4.Operators,1.0,1.0,5,2.0,2.0.26
644,org.apache.pdfbox.pdmodel.common.function.type4.Parser,1.0,1.0,4,2.0,2.0.26
645,org.apache.pdfbox.pdmodel.common.function.type4.Parser.AbstractSyntaxHandler,1.0,3.0,3,3.0,2.0.26
646,org.apache.pdfbox.pdmodel.common.function.type4.Parser.Tokenizer,1.0,1.0,20,34.0,2.0.26
647,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators,1.0,0.0,1,1.0,2.0.26
648,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.AbstractNumberComparisonOperator,1.0,1.0,5,1.0,2.0.26
649,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Eq,1.0,1.0,7,3.0,2.0.26
650,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ge,2.0,1.0,2,1.0,2.0.26
651,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Gt,2.0,1.0,2,1.0,2.0.26
652,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Le,2.0,1.0,2,1.0,2.0.26
653,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Lt,2.0,1.0,2,1.0,2.0.26
654,org.apache.pdfbox.pdmodel.common.function.type4.RelationalOperators.Ne,2.0,1.0,2,1.0,2.0.26
655,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators,1.0,0.0,1,1.0,2.0.26
656,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Copy,1.0,1.0,8,2.0,2.0.26
657,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Dup,1.0,1.0,4,1.0,2.0.26
658,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Exch,1.0,1.0,4,1.0,2.0.26
659,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Index,1.0,1.0,8,2.0,2.0.26
660,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Pop,1.0,1.0,3,1.0,2.0.26
661,org.apache.pdfbox.pdmodel.common.function.type4.StackOperators.Roll,1.0,1.0,8,8.0,2.0.26
662,org.apache.pdfbox.pdmodel.common.function.type4.TestOperators,3.0,38.0,56,40.0,2.0.26
663,org.apache.pdfbox.pdmodel.common.function.type4.TestParser,3.0,4.0,12,4.0,2.0.26
664,org.apache.pdfbox.pdmodel.common.function.type4.Type4Tester,1.0,2.0,24,10.0,2.0.26
665,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDAttributeObject,2.0,3.0,35,27.0,2.0.26
666,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDDefaultAttributeObject,3.0,3.0,28,12.0,2.0.26
667,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkInfo,1.0,1.0,12,9.0,2.0.26
668,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDMarkedContentReference,1.0,1.0,15,9.0,2.0.26
669,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDObjectReference,1.0,1.0,13,10.0,2.0.26
670,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDParentTreeValue,1.0,1.0,6,4.0,2.0.26
671,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement,2.0,18.0,98,90.0,2.0.26
672,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElementTest,1.0,1.0,20,9.0,2.0.26
673,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureNode,1.0,1.0,45,51.0,2.0.26
674,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureTreeRoot,2.0,5.0,32,20.0,2.0.26
675,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDUserAttributeObject,3.0,2.0,23,11.0,2.0.26
676,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDUserProperty,2.0,1.0,30,24.0,2.0.26
677,org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.Revisions,1.0,1.0,20,14.0,2.0.26
678,org.apache.pdfbox.pdmodel.documentinterchange.markedcontent.PDMarkedContent,1.0,4.0,22,21.0,2.0.26
679,org.apache.pdfbox.pdmodel.documentinterchange.markedcontent.PDPropertyList,1.0,2.0,9,6.0,2.0.26
680,org.apache.pdfbox.pdmodel.documentinterchange.prepress.PDBoxStyle,1.0,1.0,24,15.0,2.0.26
681,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent,2.0,4.0,17,13.0,2.0.26
682,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDExportFormatAttributeObject,5.0,6.0,33,21.0,2.0.26
683,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDFourColours,1.0,1.0,20,17.0,2.0.26
684,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDLayoutAttributeObject,4.0,29.0,129,135.0,2.0.26
685,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDListAttributeObject,4.0,1.0,14,6.0,2.0.26
686,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDPrintFieldAttributeObject,4.0,3.0,21,12.0,2.0.26
687,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDStandardAttributeObject,3.0,23.0,54,47.0,2.0.26
688,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDTableAttributeObject,4.0,5.0,30,18.0,2.0.26
689,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.StandardStructureTypes,1.0,0.0,11,3.0,2.0.26
690,org.apache.pdfbox.pdmodel.encryption.AccessPermission,1.0,1.0,28,41.0,2.0.26
691,org.apache.pdfbox.pdmodel.encryption.DecryptionMaterial,1.0,0.0,0,0.0,2.0.26
692,org.apache.pdfbox.pdmodel.encryption.InvalidPasswordException,4.0,0.0,2,1.0,2.0.26
693,org.apache.pdfbox.pdmodel.encryption.MessageDigests,1.0,3.0,6,4.0,2.0.26
694,org.apache.pdfbox.pdmodel.encryption.PDCryptFilterDictionary,1.0,1.0,17,11.0,2.0.26
695,org.apache.pdfbox.pdmodel.encryption.PDEncryption,1.0,1.0,66,57.0,2.0.26
696,org.apache.pdfbox.pdmodel.encryption.PDEncryptionDictionary,2.0,0.0,4,2.0,2.0.26
697,org.apache.pdfbox.pdmodel.encryption.ProtectionPolicy,1.0,2.0,5,5.0,2.0.26
698,org.apache.pdfbox.pdmodel.encryption.PublicKeyDecryptionMaterial,2.0,1.0,13,8.0,2.0.26
699,org.apache.pdfbox.pdmodel.encryption.PublicKeyProtectionPolicy,2.0,2.0,12,7.0,2.0.26
700,org.apache.pdfbox.pdmodel.encryption.PublicKeyRecipient,1.0,2.0,4,4.0,2.0.26
701,org.apache.pdfbox.pdmodel.encryption.PublicKeySecurityHandler,2.0,1.0,141,38.0,2.0.26
702,org.apache.pdfbox.pdmodel.encryption.RC4Cipher,1.0,1.0,11,15.0,2.0.26
703,org.apache.pdfbox.pdmodel.encryption.SaslPrep,1.0,1.0,26,25.0,2.0.26
704,org.apache.pdfbox.pdmodel.encryption.SecurityHandler,1.0,5.0,95,66.0,2.0.26
705,org.apache.pdfbox.pdmodel.encryption.SecurityHandlerFactory,1.0,1.0,14,8.0,2.0.26
706,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,1.0,1.0,7,4.0,2.0.26
707,org.apache.pdfbox.pdmodel.encryption.StandardDecryptionMaterial,2.0,1.0,2,2.0,2.0.26
708,org.apache.pdfbox.pdmodel.encryption.StandardProtectionPolicy,2.0,3.0,7,7.0,2.0.26
709,org.apache.pdfbox.pdmodel.encryption.StandardSecurityHandler,2.0,1.0,147,109.0,2.0.26
710,org.apache.pdfbox.pdmodel.fdf.FDFAnnotation,1.0,3.0,145,121.0,2.0.26
711,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret,2.0,1.0,28,13.0,2.0.26
712,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCircle,2.0,1.0,36,15.0,2.0.26
713,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationFileAttachment,2.0,0.0,7,3.0,2.0.26
714,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationFreeText,2.0,1.0,51,29.0,2.0.26
715,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationHighlight,3.0,0.0,7,3.0,2.0.26
716,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationInk,2.0,1.0,29,12.0,2.0.26
717,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,2.0,1.0,59,53.0,2.0.26
718,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLink,2.0,0.0,19,5.0,2.0.26
719,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolygon,2.0,1.0,34,15.0,2.0.26
720,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationPolyline,2.0,1.0,43,28.0,2.0.26
721,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationSound,2.0,0.0,7,3.0,2.0.26
722,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationSquare,2.0,1.0,36,15.0,2.0.26
723,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationSquiggly,3.0,0.0,7,3.0,2.0.26
724,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationStamp,2.0,1.0,55,45.0,2.0.26
725,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationStrikeOut,3.0,0.0,7,3.0,2.0.26
726,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationTest,1.0,1.0,17,4.0,2.0.26
727,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationText,2.0,1.0,18,12.0,2.0.26
728,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationTextMarkup,2.0,1.0,18,9.0,2.0.26
729,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationUnderline,3.0,0.0,7,3.0,2.0.26
730,org.apache.pdfbox.pdmodel.fdf.FDFCatalog,1.0,1.0,21,13.0,2.0.26
731,org.apache.pdfbox.pdmodel.fdf.FDFDictionary,1.0,1.0,86,68.0,2.0.26
732,org.apache.pdfbox.pdmodel.fdf.FDFDocument,1.0,6.0,56,24.0,2.0.26
733,org.apache.pdfbox.pdmodel.fdf.FDFField,1.0,1.0,94,103.0,2.0.26
734,org.apache.pdfbox.pdmodel.fdf.FDFFieldTest,1.0,4.0,20,5.0,2.0.26
735,org.apache.pdfbox.pdmodel.fdf.FDFIconFit,1.0,1.0,22,14.0,2.0.26
736,org.apache.pdfbox.pdmodel.fdf.FDFJavaScript,1.0,1.0,28,19.0,2.0.26
737,org.apache.pdfbox.pdmodel.fdf.FDFNamedPageReference,1.0,1.0,13,7.0,2.0.26
738,org.apache.pdfbox.pdmodel.fdf.FDFOptionElement,1.0,1.0,14,8.0,2.0.26
739,org.apache.pdfbox.pdmodel.fdf.FDFPage,1.0,1.0,20,10.0,2.0.26
740,org.apache.pdfbox.pdmodel.fdf.FDFPageInfo,1.0,1.0,4,3.0,2.0.26
741,org.apache.pdfbox.pdmodel.fdf.FDFTemplate,1.0,1.0,23,12.0,2.0.26
742,org.apache.pdfbox.pdmodel.fdf.XMLUtil,1.0,2.0,5,3.0,2.0.26
743,org.apache.pdfbox.pdmodel.fixup.AbstractFixup,1.0,0.0,1,1.0,2.0.26
744,org.apache.pdfbox.pdmodel.fixup.AcroFormDefaultFixup,2.0,1.0,14,4.0,2.0.26
745,org.apache.pdfbox.pdmodel.fixup.processor.AbstractProcessor,1.0,0.0,1,1.0,2.0.26
746,org.apache.pdfbox.pdmodel.fixup.processor.AcroFormDefaultsProcessor,2.0,1.0,20,9.0,2.0.26
747,org.apache.pdfbox.pdmodel.fixup.processor.AcroFormGenerateAppearancesProcessor,2.0,1.0,11,3.0,2.0.26
748,org.apache.pdfbox.pdmodel.fixup.processor.AcroFormOrphanWidgetsProcessor,2.0,1.0,46,28.0,2.0.26
749,org.apache.pdfbox.pdmodel.font.CIDFontMapping,2.0,2.0,5,3.0,2.0.26
750,org.apache.pdfbox.pdmodel.font.CIDSystemInfo,1.0,3.0,5,5.0,2.0.26
751,org.apache.pdfbox.pdmodel.font.CMapManager,1.0,2.0,12,5.0,2.0.26
752,org.apache.pdfbox.pdmodel.font.FileSystemFontProvider,2.0,1.0,115,58.0,2.0.26
753,org.apache.pdfbox.pdmodel.font.FileSystemFontProvider.FSFontInfo,2.0,8.0,40,30.0,2.0.26
754,org.apache.pdfbox.pdmodel.font.FileSystemFontProvider.FSIgnored,3.0,0.0,2,1.0,2.0.26
755,org.apache.pdfbox.pdmodel.font.FontCache,1.0,1.0,7,3.0,2.0.26
756,org.apache.pdfbox.pdmodel.font.FontInfo,1.0,9.0,14,15.0,2.0.26
757,org.apache.pdfbox.pdmodel.font.FontMapperImpl,1.0,2.0,89,88.0,2.0.26
758,org.apache.pdfbox.pdmodel.font.FontMapperImpl.DefaultFontProvider,1.0,0.0,1,0.0,2.0.26
759,org.apache.pdfbox.pdmodel.font.FontMapperImpl.FontMatch,1.0,1.0,3,2.0,2.0.26
760,org.apache.pdfbox.pdmodel.font.FontMappers,1.0,1.0,3,4.0,2.0.26
761,org.apache.pdfbox.pdmodel.font.FontMappers.DefaultFontMapper,1.0,0.0,1,0.0,2.0.26
762,org.apache.pdfbox.pdmodel.font.FontMapping,1.0,2.0,3,3.0,2.0.26
763,org.apache.pdfbox.pdmodel.font.FontProvider,1.0,2.0,2,0.0,2.0.26
764,org.apache.pdfbox.pdmodel.font.PDCIDFont,1.0,4.0,40,49.0,2.0.26
765,org.apache.pdfbox.pdmodel.font.PDCIDFontType0,2.0,4.0,82,51.0,2.0.26
766,org.apache.pdfbox.pdmodel.font.PDCIDFontType0.FF3ByteSource,1.0,1.0,4,1.0,2.0.26
767,org.apache.pdfbox.pdmodel.font.PDCIDFontType2,2.0,2.0,84,51.0,2.0.26
768,org.apache.pdfbox.pdmodel.font.PDCIDFontType2Embedder,2.0,1.0,76,72.0,2.0.26
769,org.apache.pdfbox.pdmodel.font.PDCIDSystemInfo,1.0,1.0,12,7.0,2.0.26
770,org.apache.pdfbox.pdmodel.font.PDFont,1.0,7.0,95,62.0,2.0.26
771,org.apache.pdfbox.pdmodel.font.PDFontDescriptor,1.0,1.0,90,90.0,2.0.26
772,org.apache.pdfbox.pdmodel.font.PDFontFactory,1.0,2.0,23,18.0,2.0.26
773,org.apache.pdfbox.pdmodel.font.PDFontTest,1.0,7.0,103,17.0,2.0.26
774,org.apache.pdfbox.pdmodel.font.PDMMType1Font,4.0,0.0,2,1.0,2.0.26
775,org.apache.pdfbox.pdmodel.font.PDPanose,1.0,1.0,5,3.0,2.0.26
776,org.apache.pdfbox.pdmodel.font.PDPanoseClassification,1.0,1.0,13,13.0,2.0.26
777,org.apache.pdfbox.pdmodel.font.PDSimpleFont,2.0,8.0,64,53.0,2.0.26
778,org.apache.pdfbox.pdmodel.font.PDTrueTypeFont,3.0,7.0,105,85.0,2.0.26
779,org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder,2.0,2.0,32,7.0,2.0.26
780,org.apache.pdfbox.pdmodel.font.PDType0Font,2.0,11.0,116,73.0,2.0.26
781,org.apache.pdfbox.pdmodel.font.PDType1CFont,3.0,4.0,90,50.0,2.0.26
782,org.apache.pdfbox.pdmodel.font.PDType1CFont.FF3ByteSource,1.0,1.0,4,1.0,2.0.26
783,org.apache.pdfbox.pdmodel.font.PDType1Font,3.0,5.0,109,73.0,2.0.26
784,org.apache.pdfbox.pdmodel.font.PDType1FontEmbedder,1.0,5.0,65,9.0,2.0.26
785,org.apache.pdfbox.pdmodel.font.PDType3CharProc,1.0,3.0,34,21.0,2.0.26
786,org.apache.pdfbox.pdmodel.font.PDType3Font,3.0,11.0,82,59.0,2.0.26
787,org.apache.pdfbox.pdmodel.font.Standard14Fonts,1.0,1.0,21,12.0,2.0.26
788,org.apache.pdfbox.pdmodel.font.TestFontEmbedding,3.0,3.0,76,12.0,2.0.26
789,org.apache.pdfbox.pdmodel.font.TestFontEmbedding.TrueTypeEmbedderTester,2.0,1.0,3,2.0,2.0.26
790,org.apache.pdfbox.pdmodel.font.TestFontEncoding,3.0,3.0,34,3.0,2.0.26
791,org.apache.pdfbox.pdmodel.font.TestToUnicodeWriter,3.0,7.0,23,7.0,2.0.26
792,org.apache.pdfbox.pdmodel.font.ToUnicodeWriter,1.0,1.0,33,19.0,2.0.26
793,org.apache.pdfbox.pdmodel.font.TrueTypeEmbedder,1.0,1.0,105,34.0,2.0.26
794,org.apache.pdfbox.pdmodel.font.UniUtil,1.0,1.0,5,6.0,2.0.26
795,org.apache.pdfbox.pdmodel.font.encoding.BuiltInEncoding,2.0,2.0,8,4.0,2.0.26
796,org.apache.pdfbox.pdmodel.font.encoding.DictionaryEncoding,2.0,2.0,24,19.0,2.0.26
797,org.apache.pdfbox.pdmodel.font.encoding.Encoding,1.0,3.0,16,16.0,2.0.26
798,org.apache.pdfbox.pdmodel.font.encoding.GlyphList,1.0,4.0,41,29.0,2.0.26
799,org.apache.pdfbox.pdmodel.font.encoding.MacExpertEncoding,2.0,2.0,5,4.0,2.0.26
800,org.apache.pdfbox.pdmodel.font.encoding.MacOSRomanEncoding,3.0,1.0,5,3.0,2.0.26
801,org.apache.pdfbox.pdmodel.font.encoding.MacRomanEncoding,2.0,2.0,5,4.0,2.0.26
802,org.apache.pdfbox.pdmodel.font.encoding.StandardEncoding,2.0,2.0,5,4.0,2.0.26
803,org.apache.pdfbox.pdmodel.font.encoding.SymbolEncoding,2.0,2.0,6,4.0,2.0.26
804,org.apache.pdfbox.pdmodel.font.encoding.Type1Encoding,2.0,3.0,13,7.0,2.0.26
805,org.apache.pdfbox.pdmodel.font.encoding.WinAnsiEncoding,2.0,2.0,6,6.0,2.0.26
806,org.apache.pdfbox.pdmodel.font.encoding.ZapfDingbatsEncoding,2.0,2.0,6,4.0,2.0.26
807,org.apache.pdfbox.pdmodel.graphics.PDFontSetting,1.0,1.0,16,8.0,2.0.26
808,org.apache.pdfbox.pdmodel.graphics.PDLineDashPattern,1.0,1.0,13,6.0,2.0.26
809,org.apache.pdfbox.pdmodel.graphics.PDLineDashPatternTest,1.0,1.0,12,1.0,2.0.26
810,org.apache.pdfbox.pdmodel.graphics.PDPostScriptXObject,2.0,0.0,2,1.0,2.0.26
811,org.apache.pdfbox.pdmodel.graphics.PDXObject,1.0,2.0,26,15.0,2.0.26
812,org.apache.pdfbox.pdmodel.graphics.blend.BlendComposite,1.0,2.0,7,6.0,2.0.26
813,org.apache.pdfbox.pdmodel.graphics.blend.BlendComposite.BlendCompositeContext,1.0,2.0,26,22.0,2.0.26
814,org.apache.pdfbox.pdmodel.graphics.blend.BlendMode,1.0,3.0,18,46.0,2.0.26
815,org.apache.pdfbox.pdmodel.graphics.blend.BlendModeTest,1.0,1.0,6,3.0,2.0.26
816,org.apache.pdfbox.pdmodel.graphics.blend.NonSeparableBlendMode,2.0,1.0,2,1.0,2.0.26
817,org.apache.pdfbox.pdmodel.graphics.blend.SeparableBlendMode,2.0,1.0,2,1.0,2.0.26
818,org.apache.pdfbox.pdmodel.graphics.color.PDCIEBasedColorSpace,2.0,2.0,11,5.0,2.0.26
819,org.apache.pdfbox.pdmodel.graphics.color.PDCIEDictionaryBasedColorSpace,3.0,2.0,22,14.0,2.0.26
820,org.apache.pdfbox.pdmodel.graphics.color.PDCalGray,4.0,5.0,23,12.0,2.0.26
821,org.apache.pdfbox.pdmodel.graphics.color.PDCalRGB,4.0,5.0,29,16.0,2.0.26
822,org.apache.pdfbox.pdmodel.graphics.color.PDColor,1.0,1.0,23,16.0,2.0.26
823,org.apache.pdfbox.pdmodel.graphics.color.PDColorSpace,1.0,10.0,54,39.0,2.0.26
824,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYK,3.0,6.0,35,19.0,2.0.26
825,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYKTest,3.0,1.0,2,1.0,2.0.26
826,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceCMYKTest.CustomDeviceCMYK,4.0,0.0,1,1.0,2.0.26
827,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceColorSpace,2.0,1.0,4,2.0,2.0.26
828,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceGray,3.0,7.0,16,10.0,2.0.26
829,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceN,3.0,4.0,78,60.0,2.0.26
830,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNAttributes,1.0,1.0,30,14.0,2.0.26
831,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceNProcess,1.0,1.0,19,10.0,2.0.26
832,org.apache.pdfbox.pdmodel.graphics.color.PDDeviceRGB,3.0,7.0,14,8.0,2.0.26
833,org.apache.pdfbox.pdmodel.graphics.color.PDGamma,1.0,1.0,16,10.0,2.0.26
834,org.apache.pdfbox.pdmodel.graphics.color.PDICCBased,3.0,4.0,98,74.0,2.0.26
835,org.apache.pdfbox.pdmodel.graphics.color.PDICCBasedTest,1.0,1.0,8,2.0,2.0.26
836,org.apache.pdfbox.pdmodel.graphics.color.PDIndexed,3.0,5.0,53,33.0,2.0.26
837,org.apache.pdfbox.pdmodel.graphics.color.PDJPXColorSpace,2.0,5.0,15,10.0,2.0.26
838,org.apache.pdfbox.pdmodel.graphics.color.PDLab,4.0,4.0,37,24.0,2.0.26
839,org.apache.pdfbox.pdmodel.graphics.color.PDLabTest,3.0,1.0,37,1.0,2.0.26
840,org.apache.pdfbox.pdmodel.graphics.color.PDOutputIntent,1.0,2.0,26,13.0,2.0.26
841,org.apache.pdfbox.pdmodel.graphics.color.PDPattern,3.0,9.0,21,13.0,2.0.26
842,org.apache.pdfbox.pdmodel.graphics.color.PDSeparation,3.0,6.0,49,29.0,2.0.26
843,org.apache.pdfbox.pdmodel.graphics.color.PDSpecialColorSpace,2.0,1.0,1,1.0,2.0.26
844,org.apache.pdfbox.pdmodel.graphics.color.PDTristimulus,1.0,1.0,16,11.0,2.0.26
845,org.apache.pdfbox.pdmodel.graphics.form.PDFormXObject,2.0,9.0,45,27.0,2.0.26
846,org.apache.pdfbox.pdmodel.graphics.form.PDTransparencyGroup,3.0,0.0,6,3.0,2.0.26
847,org.apache.pdfbox.pdmodel.graphics.form.PDTransparencyGroupAttributes,1.0,1.0,13,8.0,2.0.26
848,org.apache.pdfbox.pdmodel.graphics.image.CCITTFactory,1.0,1.0,49,58.0,2.0.26
849,org.apache.pdfbox.pdmodel.graphics.image.CCITTFactoryTest,3.0,1.0,60,14.0,2.0.26
850,org.apache.pdfbox.pdmodel.graphics.image.JPEGFactory,1.0,1.0,81,43.0,2.0.26
851,org.apache.pdfbox.pdmodel.graphics.image.JPEGFactory.Dimensions,1.0,0.0,0,0.0,2.0.26
852,org.apache.pdfbox.pdmodel.graphics.image.JPEGFactoryTest,3.0,1.0,62,20.0,2.0.26
853,org.apache.pdfbox.pdmodel.graphics.image.LosslessFactory,1.0,1.0,33,28.0,2.0.26
854,org.apache.pdfbox.pdmodel.graphics.image.LosslessFactory.PredictorEncoder,1.0,1.0,54,50.0,2.0.26
855,org.apache.pdfbox.pdmodel.graphics.image.LosslessFactoryTest,3.0,1.0,101,39.0,2.0.26
856,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject,2.0,13.0,155,114.0,2.0.26
857,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObjectTest,1.0,1.0,44,21.0,2.0.26
858,org.apache.pdfbox.pdmodel.graphics.image.PDInlineImage,1.0,3.0,69,54.0,2.0.26
859,org.apache.pdfbox.pdmodel.graphics.image.PDInlineImageTest,3.0,1.0,60,16.0,2.0.26
860,org.apache.pdfbox.pdmodel.graphics.image.PNGConverter,1.0,1.0,66,105.0,2.0.26
861,org.apache.pdfbox.pdmodel.graphics.image.PNGConverter.Chunk,1.0,1.0,2,1.0,2.0.26
862,org.apache.pdfbox.pdmodel.graphics.image.PNGConverter.MultipleInputStream,2.0,1.0,9,11.0,2.0.26
863,org.apache.pdfbox.pdmodel.graphics.image.PNGConverter.PNGConverterState,1.0,0.0,1,0.0,2.0.26
864,org.apache.pdfbox.pdmodel.graphics.image.PNGConverterTest,1.0,3.0,99,28.0,2.0.26
865,org.apache.pdfbox.pdmodel.graphics.image.SampledImageReader,1.0,1.0,75,79.0,2.0.26
866,org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage,1.0,4.0,76,22.0,2.0.26
867,org.apache.pdfbox.pdmodel.graphics.image.ValidateXImage.NullOutputStream,2.0,1.0,1,1.0,2.0.26
868,org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentGroup,2.0,1.0,17,15.0,2.0.26
